249,297,387,290,245,150,390,152
250,299,389,291,247,151,392,153
252,300,392,293,249,152,395,153
254,302,394,294,250,152,397,154
255,303,396,296,252,153,399,154
257,304,399,297,253,154,402,155
259,306,402,298,255,154,404,155
260,308,404,300,257,155,407,156
262,309,407,301,258,156,410,156
263,311,409,303,260,156,412,157
265,312,412,305,262,157,415,157
267,314,415,306,263,158,417,158
268,315,417,308,265,159,420,158
270,317,420,309,266,159,423,159
272,319,423,311,268,160,426,160
274,320,426,313,270,161,428,160
275,322,428,314,272,161,431,161
277,324,431,316,273,162,434,161
279,325,434,318,275,163,437,162
281,327,437,320,277,163,440,162
282,329,440,322,278,164,443,163
284,331,443,323,280,165,446,163
286,333,446,325,282,166,449,164
288,334,449,327,284,166,452,165
290,336,452,329,285,167,455,165
291,338,455,331,287,168,458,166
293,340,459,333,289,169,461,166
295,342,462,335,291,169,465,167
297,344,465,337,293,170,468,167
299,346,469,339,295,171,471,168
