249,295,393,297,250,154,392,152
249,295,394,296,250,152,393,151
249,294,395,295,250,151,394,149
250,293,396,294,250,149,395,147
250,293,397,294,250,148,396,145
250,292,398,293,251,146,397,144
250,291,400,292,251,145,398,142
251,290,401,291,251,143,399,140
251,290,402,291,251,141,401,138
251,289,403,290,251,140,402,136
252,288,405,289,251,138,403,134
252,288,406,288,251,136,404,133
252,287,407,288,251,135,406,131
252,286,408,287,252,133,407,129
253,285,410,286,252,131,408,127
253,285,411,285,252,129,409,125
253,284,412,284,252,127,411,123
253,283,414,284,252,126,412,121
254,282,415,283,252,124,413,119
254,282,416,282,252,122,415,116
254,281,418,281,252,120,416,114
254,280,419,280,252,118,417,112
255,279,420,280,252,116,419,110
255,279,422,279,252,114,420,108
255,278,423,278,252,112,422,105
255,277,425,277,252,110,423,103
256,276,426,276,252,108,425,101
256,275,428,276,252,106,426,98
256,275,429,275,252,104,428,96
256,274,431,274,252,102,429,94
